Name,Location,RSVP,Past_Attendance,Attended,Distance
Raghav Rao,Aligarh,No,Yes,Yes,1691.23
Arjun Prasad,Guntur,No,No,Yes,709.46
Kavita Sharma,Ahmedabad,No,No,Yes,1144.31
Meera Khan,Sivasagar,Yes,No,Yes,2584.53
Sneha Yadav,Ghazipur,No,No,Yes,1672.01
Zayan Aggarwal,Asansol,Yes,No,Yes,1748.26
Saurabh Naidu,Dehradun,No,Yes,Yes,1955.72
Laxman Bhatt,"Chengdu, China",No,No,Yes,3584.46
Sneha Yadav,"Rotterdam, Netherlands",No,No,Yes,7543.35
Devendra Thakur,Ranchi,Yes,No,Yes,1600.57
Dilip Prasad,"Marseille, France",Yes,Yes,Yes,7378.63
Charulata Menon,"Melbourne, Australia",Yes,Yes,Yes,9201.73
Jeevan Reddy,"Hanoi, Vietnam",No,Yes,Yes,3414.49
Samar Nair,"Calgary, Canada",No,Yes,Yes,12866.2
Barkha Shetty,Belgaum,No,Yes,Yes,327.81
Aniket Sinha,Dantewada,Yes,No,Yes,959.99
Tanvi Mishra,Guwahati,No,No,Yes,2297.74
Sneha Yadav,Bilaspur,Yes,Yes,Yes,1282.13
Vandana Rao,Pithoragarh,No,No,Yes,1992.11
Chirag Sinha,"Helsinki, Finland",Yes,No,Yes,6624.31
Urvashi Naidu,"Busan, South Korea",Yes,No,Yes,5955.32
Kiran Reddy,Rishikesh,No,Yes,Yes,1936.58
Bina Chauhan,Kurukshetra,No,No,Yes,1899.65
Lokesh Aggarwal,"Busan, South Korea",Yes,No,Yes,5955.32
Yamini Shetty,Ludhiana,Yes,No,Yes,1995.3
Omkar Khan,Durgapur,Yes,No,Yes,1765.71
Charulata Menon,Basti,No,Yes,Yes,1737.41
Ishita Nair,Raebareli,Yes,Yes,Yes,1615.24
Om Gupta,Bareilly,Yes,No,Yes,1784.52
Farida Aggarwal,"Victoria, Canada",No,Yes,Yes,12976.59
Aarohi Sinha,"Austin, USA",No,No,Yes,15160.97
Aarohi Sinha,"Porto Alegre, Brazil",No,Yes,Yes,14186.38
Jaya Mehta,Almora,No,No,Yes,1918.02
Farah Kapoor,Lucknow,Yes,No,Yes,1666.92
Vaishali Yadav,Varanasi,Yes,No,Yes,1619.33
Mona Deshmukh,Surat,Yes,No,Yes,942.96
Lata Gupta,Dharwad,Yes,Yes,Yes,273.45
Nisha Verma,Aligarh,Yes,No,Yes,1691.23
Divya Menon,"New York City, USA",No,No,Yes,13261.27
Jatin Iyer,"Chicago, USA",No,No,Yes,13679.48
Farzana Sinha,"Luxembourg City, Luxembourg",Yes,No,Yes,7394.2
Yashwant Iyer,"Tashkent, Uzbekistan",No,Yes,Yes,3193.49
Raghav Reddy,Kharagpur,No,Yes,Yes,1681.57
Jaya Jha,Bhubaneswar,No,Yes,Yes,1425.5
Nikhil Verma,Junagadh,Yes,No,Yes,1061.05
Ramesh Iyer,"Seattle, USA",No,Yes,Yes,13088.68
Mona Deshmukh,"Dubai, UAE",Yes,Yes,Yes,2464.59
Harini Thakur,Mehsana,No,No,Yes,1211.58
Hardik Reddy,"Calgary, Canada",No,No,Yes,12866.2
Bhuvan Thakur,"Brussels, Belgium",No,No,Yes,7537.36
Yamini Shetty,New Delhi,Yes,Yes,Yes,1758.65
Yasmin Mishra,"Shenzhen, China",No,No,Yes,4278.2
Farida Aggarwal,Hamirpur,Yes,Yes,Yes,1519.71
Nitin Reddy,"Marseille, France",No,Yes,Yes,7378.63
Aarohi Sinha,Etah,Yes,No,Yes,1667.09
Harini Thakur,"Zurich, Switzerland",Yes,Yes,Yes,7182.56
Charulata Menon,Rishikesh,No,No,Yes,1936.58
Pranav Deshmukh,Midnapore,No,No,Yes,1688.8
Inderjit Kapoor,"Milan, Italy",No,Yes,Yes,7102.28
Farah Kapoor,"Zurich, Switzerland",No,Yes,Yes,7182.56
Anirudh Chauhan,Hazaribagh,No,Yes,Yes,1668.85
Vidya Iyer,Sitapur,No,Yes,Yes,1730.86
Gopal Deshmukh,"Medellín, Colombia",No,No,Yes,16131.4
Jeevan Reddy,"Toronto, Canada",Yes,Yes,Yes,13219.41
Jeevan Goswami,Mandsaur,No,No,Yes,1257.43
Farzana Sinha,"San Francisco, USA",Yes,Yes,Yes,14112.29
Nisha Verma,"San Francisco, USA",Yes,Yes,Yes,14112.29
Nirav Das,"Almaty, Kazakhstan",No,Yes,Yes,3366.77
Chitra Kapoor,"Christchurch, New Zealand",Yes,Yes,Yes,11612.59
Dilip Prasad,Rewari,Yes,Yes,Yes,1701.76
Farah Kapoor,Asansol,No,Yes,Yes,1748.26
Aaditya Sharma,"Muscat, Oman",Yes,No,Yes,2101.68
Harsh Bhatt,"Bali, Indonesia",Yes,Yes,Yes,5036.11
Pankaj Mishra,"Eindhoven, Netherlands",No,No,Yes,7467.58
Bhavna Thakur,Seoni,Yes,No,Yes,1157.21
Chandan Aggarwal,"Cebu, Philippines",No,Yes,Yes,5338.59
Deepak Deshmukh,Karimnagar,No,Yes,Yes,763.68
Omkar Prasad,Gandhinagar,Yes,No,Yes,1164.64
Pranav Shetty,"Porto, Portugal",No,Yes,Yes,8534.56
Vihan Sinha,"Budapest, Hungary",No,Yes,Yes,6414.19
